City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,primorsko-akhtarsk,46.0497,38.1747,24.24,35,1,6.06,RU,1724620777
341,sorong,-0.8833,131.25,25.74,85,100,1.75,ID,1724620778
342,new norfolk,-42.7826,147.0587,11.51,83,99,3.96,AU,1724620779
343,villa gesell,-37.2639,-56.973,8.66,77,5,4.12,AR,1724620781
344,tezu,27.9167,96.1667,26.1,74,62,1.83,IN,1724620782
345,nadi,-17.8,177.4167,22.0,83,40,0.0,FJ,1724620783
346,novodvinsk,64.4165,40.8122,13.86,72,4,3.27,RU,1724620784
347,pionerskiy,54.9508,20.2275,17.91,71,100,7.88,RU,1724620785
348,barcelos,41.5388,-8.6151,17.05,66,0,1.97,PT,1724620787
349,gutierrez zamora,20.45,-97.0833,30.52,64,0,4.73,MX,1724620790
350,aasiaat,68.7098,-52.8699,3.05,90,100,2.04,GL,1724620792
351,inderbor,48.55,51.7833,25.43,29,10,2.1,KZ,1724620793
352,ghanzi,-21.5667,21.7833,17.06,24,0,2.11,BW,1724620794
353,nkhata bay,-11.6066,34.2907,20.01,60,29,2.28,MW,1724620795
354,colonia,50.9333,6.95,16.64,78,0,0.51,DE,1724620516
355,nuku'alofa,-21.1333,-175.2,22.19,100,100,4.12,TO,1724620798
356,nadym,65.5333,72.5167,10.95,80,16,1.53,RU,1724620799
357,sinan,34.8262,126.1086,24.73,87,80,0.64,KR,1724620801
358,gilgit,35.9221,74.3087,23.99,43,6,1.16,PK,1724620803
359,craon,47.8469,-0.9493,15.32,68,16,3.84,FR,1724620804
360,al ghayzah,16.2079,52.176,25.12,86,98,4.21,YE,1724620805
361,turinsk,58.0458,63.696,12.6,74,100,1.4,RU,1724620806
